question,answer
ITサービス契約において、クラウドサーバーのスペック変更はどのように申請すればよいですか？,管理画面の［サーバー管理］メニューから対象サーバーを選択し、［スペック変更］ボタンをクリックしてください。変更後の構成は翌営業日中に反映され、料金も自動計算されます。
銀行口座を開設する際に必要な書類は何ですか？,本人確認書類として運転免許証またはマイナンバーカード、印鑑登録証明書（3カ月以内発行）、およびマイナンバー通知カードまたは個人番号カードが必要です。なお、未成年の場合は戸籍抄本と親権者の同意書も合わせて提出してください。
病院で健康診断を受けた後、結果はどのように閲覧できますか？,診断結果は受診後約1週間でWebポータルにアップロードされ、マイページの［検査結果］からPDF形式でダウンロード可能です。予約した際に登録したメールアドレス宛にも通知が届きます。
大学の入学手続きでは、入学金の支払い期限はいつまでですか？,入学許可通知書発送後から30日以内に指定の銀行口座へお振込みください。期限を過ぎると合格が取り消される場合がありますのでご注意ください。
ネット通販サイトで購入した商品の返品ポリシーを教えてください。,商品到着後7日以内で未開封・未使用の場合に限り、送料ご負担で返品を承ります。返品手続きはマイページの［注文履歴］から［返品申請］を選択し、必要事項を入力してください。
レストランでアレルギー対応を依頼するにはどうすればよいですか？,予約時に備考欄にアレルギー食材を明記いただくか、お電話で直接シェフにご相談ください。ご来店の48時間前までにご連絡いただければ、専用メニューをご用意いたします。
ホテルのチェックイン時間は何時から何時までですか？,チェックインは15時から24時までとなっており、24時を過ぎる場合は事前にご連絡ください。遅い到着でもスムーズにお部屋をご利用いただけるよう、スタッフが待機しております。
製造業における品質保証基準の確認はどこからできますか？,品質保証マニュアルは社内イントラネットの［品質管理］フォルダにPDFで格納されています。最新版を必ず参照し、製造ラインの定期監査時にチェックリストとしてご活用ください。
農業関連企業で有機栽培認証を取得するための手続きは？,農林水産省認定の認証機関に申請書と栽培計画書、土壌検査結果を提出し、現地審査を受けます。審査通過後に認証証が発行され、認証ロゴの使用も可能となります。
建設現場での安全管理責任者は誰が選任されますか？,労働安全衛生法に基づき、一定規模以上の工事現場では建設業者が専任の安全管理者を選任する必要があります。通常は現場監督経験のあるスタッフが任命され、各種安全教育を受講済みでなければなりません。
賃貸物件の契約更新手続きはどのタイミングで行うべきですか？,契約満了日の1カ月前までにオーナーまたは管理会社から更新のご案内を送付いたします。更新を希望される場合は、案内到着後2週間以内に更新手続き書類へご署名ください。
生命保険の契約内容を変更したい場合、どのような手続きが必要ですか？,住所変更や被保険者の追加・削除などは、所定の変更申請書に必要事項を記入し、契約証券とともに保険会社窓口へご提出ください。変更後の保険料は翌契約期から適用されます。
物流会社で配送状況をリアルタイムで追跡する方法は？,配送業者から配達時にメールで通知される追跡番号を、当社Webサイトの［配送追跡］ページに入力してください。荷物の位置情報や配達予定日時をリアルタイムでご確認いただけます。
広告掲載を依頼する際の掲載料はいくらですか？,広告枠や掲載期間、媒体によって異なるため、まずはお問い合わせフォームから業種や希望期間、バナーサイズをご連絡ください。お見積もりを作成し、5営業日以内にご提示いたします。
製薬会社で医薬品の副作用を報告する方法を教えてください。,副作用が疑われる場合、当社Webサイトの「安全性情報報告フォーム」から必要事項を入力してください。お急ぎの場合はコールセンター（フリーダイヤル）へご連絡いただければ、詳細をヒアリングの上、迅速に対応いたします。
飲食店で食品衛生法に基づく資格は必須ですか？,調理従事者は食品衛生責任者講習を修了し、登録を行う必要があります。外部講習を受講し修了証を取得後、営業地域の保健所へ提出することで登録が完了します。
